longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n
-73.92829,4.0,1.0,1.0,0.0,21.0,1.0
-73.94654,3.0,0.0,1.0,51.0,2.0,1.0
-73.9755,3.0,28.0,1.0,158.0,8.0,1.0
-73.99265,2.0,0.0,1.0,0.0,7.0,1.0
-73.92284,1.0,3.0,2.0,0.0,6.0,0.0
-73.9798,1.0,1.0,4.0,0.0,17.0,0.0
-73.97485,3.0,9.0,1.0,0.0,8.0,1.0
-73.92435,30.0,9.0,1.0,76.0,39.0,0.0
-73.9917,1.0,63.0,12.0,267.0,7.0,0.0
-74.07451,2.0,242.0,1.0,256.0,89.0,1.0
-73.95562,1.0,2.0,3.0,54.0,2.0,0.0
-73.98377,7.0,17.0,1.0,227.0,19.0,0.0
-73.85331,1.0,34.0,1.0,347.0,87.0,0.0
-73.95459,3.0,0.0,2.0,280.0,20.0,1.0
-73.91762,2.0,92.0,1.0,12.0,56.0,1.0
-73.95368,4.0,68.0,2.0,102.0,2.0,0.0
-73.99855,3.0,0.0,2.0,0.0,14.0,0.0
-73.97352,4.0,13.0,1.0,179.0,13.0,1.0
-73.9607,3.0,125.0,1.0,271.0,3.0,1.0
-73.95211,1.0,104.0,1.0,146.0,20.0,0.0
-73.94322,1.0,52.0,1.0,161.0,20.0,1.0
-73.99214,2.0,0.0,2.0,0.0,14.0,0.0
-73.95482,4.0,58.0,1.0,158.0,28.0,1.0
-73.90906,2.0,0.0,1.0,0.0,56.0,1.0
-73.98295,3.0,30.0,1.0,248.0,19.0,1.0
-74.00475,3.0,5.0,1.0,164.0,11.0,1.0
-73.97717,3.0,10.0,1.0,0.0,19.0,1.0
-73.99937,5.0,0.0,1.0,5.0,14.0,0.0
-73.99502,7.0,5.0,47.0,318.0,7.0,0.0
-73.99298,5.0,49.0,2.0,251.0,7.0,1.0
-73.95819,4.0,1.0,1.0,0.0,6.0,0.0
-73.96325,1.0,12.0,1.0,9.0,15.0,1.0
-73.94029,30.0,4.0,52.0,337.0,20.0,1.0
-73.96628,10.0,5.0,2.0,0.0,12.0,0.0
-73.99694,1.0,67.0,1.0,189.0,53.0,1.0
-73.95042,30.0,11.0,4.0,361.0,6.0,0.0
-73.96773,1.0,1.0,1.0,179.0,3.0,0.0
-73.9982,2.0,0.0,1.0,0.0,52.0,1.0
-73.91339,1.0,14.0,1.0,123.0,49.0,0.0
-73.91037,1.0,2.0,4.0,9.0,6.0,0.0
-73.91428,30.0,3.0,1.0,213.0,39.0,1.0
-73.90191,2.0,14.0,1.0,168.0,44.0,0.0
-73.92264,3.0,25.0,2.0,44.0,21.0,0.0
-73.93695,2.0,1.0,1.0,0.0,6.0,0.0
-73.95332,2.0,13.0,2.0,9.0,12.0,0.0
-73.99071,3.0,124.0,1.0,261.0,7.0,1.0
-73.94988,5.0,0.0,1.0,80.0,6.0,1.0
-73.92115,30.0,1.0,1.0,45.0,21.0,1.0
-74.0044,3.0,0.0,1.0,0.0,77.0,1.0
-73.87912,2.0,3.0,1.0,64.0,81.0,0.0
-73.94163,10.0,0.0,1.0,42.0,20.0,1.0
-73.98726,2.0,3.0,1.0,0.0,19.0,0.0
-73.91464,1.0,1.0,1.0,0.0,44.0,0.0
-73.92296,3.0,2.0,5.0,0.0,21.0,0.0
-73.94426,30.0,1.0,8.0,310.0,2.0,0.0
-73.962,1.0,5.0,1.0,0.0,28.0,1.0
-73.9941,7.0,1.0,1.0,124.0,64.0,1.0
-73.95408,10.0,0.0,1.0,0.0,12.0,1.0
-73.9483,30.0,71.0,1.0,273.0,20.0,1.0
-73.98116,7.0,47.0,1.0,291.0,16.0,1.0
-73.98766,3.0,1.0,1.0,0.0,23.0,1.0
-73.95906,2.0,2.0,1.0,0.0,6.0,0.0
-73.95449,30.0,0.0,3.0,331.0,28.0,2.0
-73.92952,2.0,0.0,1.0,37.0,30.0,1.0
-73.95649,3.0,99.0,2.0,239.0,12.0,1.0
-74.00596,20.0,0.0,3.0,53.0,43.0,1.0
-73.92677,3.0,18.0,2.0,336.0,18.0,0.0
-73.95865,5.0,4.0,1.0,0.0,6.0,1.0
-73.92307,1.0,0.0,1.0,13.0,56.0,0.0
-73.97154,3.0,0.0,1.0,96.0,1.0,0.0
-73.96023,2.0,11.0,2.0,156.0,73.0,0.0
-73.77638,1.0,0.0,3.0,180.0,152.0,0.0
